transaction_id,user_id,product_id,amount,payment_type,date,name,age,gender,city,registration_date,category,price,stock
T000001,U0024,P015,67.67,Wallet,2023-02-12,Aarohi Kapoor,20.0,Female,Patna,2023-03-15,Books,2286.25,251.0
T000002,U0196,P044,76.44,UPI,2023-03-24,Kabir Kulkarni,35.0,Other,Patna,2024-08-01,Beauty,1655.45,268.0
T000003,U0196,P049,104.57,Debit Card,2025-08-21,Kabir Kulkarni,35.0,Other,Patna,2024-08-01,Home,1701.17,159.0
T000004,U0133,P042,102.75,Net Banking,2024-07-23,Diya Singh,23.0,Female,Indore,2023-07-06,Home,4406.39,59.0
T000005,U0047,P038,23.89,Net Banking,2025-10-04,Anaya Gupta,28.0,Other,Kolkata,2022-10-13,Home,393.65,58.0
T000006,U0024,P031,31.1,UPI,2025-04-16,Aarohi Kapoor,20.0,Female,Patna,2023-03-15,Grocery,3035.94,111.0
T000007,U0086,P021,74.37,Wallet,2023-08-03,Aarohi Reddy,27.0,Female,Ahmedabad,2022-02-12,Books,3055.12,169.0
T000008,U0042,P022,74.31,Net Banking,2025-10-11,Muhammad Singh,33.0,Female,Kanpur,2023-03-25,Electronics,3207.91,466.0
T000009,U0074,P043,74.37,Net Banking,2023-03-17,Diya Gupta,44.0,Male,Kanpur,2022-10-19,Home,3416.65,309.0
T000010,U0117,P006,154.71,UPI,2024-05-31,Aadhya Joshi,31.0,Female,Kolkata,2022-06-01,Clothing,3250.7,467.0
T000011,U0083,P008,76.9,Net Banking,2023-01-03,Arjun Khan,43.0,Male,Thane,2023-07-19,Books,4406.39,161.0
T000012,U0169,P035,107.91,Net Banking,2025-04-26,Diya Mukherjee,30.0,Other,Vadodara,2022-12-05,Sports,2998.97,82.0
T000013,U0014,P013,96.78,Cash,2025-01-10,Sai Singh,18.0,Male,Kolkata,2024-06-06,Beauty,3354.37,155.0
T000014,U0160,P049,80.71,Net Banking,2025-06-24,Myra Chopra,37.0,Other,Nagpur,2022-12-11,Home,1701.17,159.0
T000015,U0195,P004,45.19,Debit Card,2024-06-30,Ishaan Reddy,33.0,Male,Delhi,2022-06-19,Toys,2600.12,229.0
T000016,U0141,P009,86.09,UPI,2025-06-16,Anaya Nair,33.0,Female,Jaipur,2024-02-10,Clothing,1799.44,163.0
T000017,U0179,P032,34.34,Credit Card,2023-03-01,Kabir Joshi,29.0,Female,Thane,2022-12-15,Books,2913.02,176.0
T000018,U0162,P039,47.37,Debit Card,2023-11-21,Muhammad Mehta,38.0,Female,Lucknow,2022-10-14,Grocery,4167.72,453.0
T000019,U0080,P036,40.8,Credit Card,2025-04-15,Ishaan Amin,18.0,Female,Jaipur,2024-07-16,Sports,1650.69,388.0
T000020,U0024,P015,57.35,Credit Card,2025-08-03,Aarohi Kapoor,20.0,Female,Patna,2023-03-15,Books,2286.25,251.0
T000021,U0031,P042,154.71,Debit Card,2025-10-17,Aarohi Khan,27.0,Other,Lucknow,2022-04-25,Home,4406.39,59.0
T000022,U0184,P019,21.28,Cash,2024-07-13,Kiara Kulkarni,35.0,Other,Ghaziabad,2022-08-20,Home,523.79,441.0
T000023,U0107,P031,82.41,Net Banking,2024-05-14,Kiara Bose,47.0,Other,Pune,2023-09-23,Grocery,3035.94,111.0
T000024,U0117,P036,21.28,Debit Card,2025-02-24,Aadhya Joshi,31.0,Female,Kolkata,2022-06-01,Sports,1650.69,388.0
T000025,U0049,P039,41.13,Cash,2023-10-07,Saanvi Chopra,34.0,Female,Kolkata,2024-03-14,Grocery,4167.72,453.0
T000026,U0018,P018,104.94,Net Banking,2024-11-27,Sai Iyer,34.0,Female,Nagpur,2022-10-04,Electronics,2390.82,158.0
T000027,U0130,P018,56.75,Credit Card,2024-08-02,Anaya Kapoor,27.0,Female,Indore,2022-03-05,Electronics,2390.82,158.0
T000028,U0186,P020,28.6,Cash,2025-09-29,Saanvi Mukherjee,37.0,Female,Patna,2023-09-28,Toys,1595.75,428.0
T000029,U0039,P029,35.55,Cash,2025-09-18,Meera Gupta,21.0,Other,Ahmedabad,2022-05-12,Clothing,393.65,289.0
T000030,U0089,P022,82.09,Cash,2025-02-11,Kiara Kulkarni,27.0,Other,Ahmedabad,2024-08-05,Electronics,3207.91,466.0
T000031,U0117,P021,35.23,Debit Card,2024-05-04,Aadhya Joshi,31.0,Female,Kolkata,2022-06-01,Books,3055.12,169.0
T000032,U0147,P025,62.17,Debit Card,2025-04-21,Ishaan Mehta,22.0,Male,Ghaziabad,2023-09-14,Electronics,1408.97,272.0
